"","WORKSITE_CITY","city","population","dependent","median_wage","lat","lon"
"1","NEW YORK","New York",8550405,"Y",73923,40.71455,-74.007124
"2","LOS ANGELES","Los Angeles",3971883,"Y",71417,34.05349,-118.245319
"3","CHICAGO","Chicago",2720546,"Y",67000,41.88415,-87.632409
"4","HOUSTON","Houston",2296224,"Y",66000,29.76045,-95.369784
"5","PHILADELPHIA","Philadelphia",1567442,"Y",69347,39.95228,-75.162454
"6","PHOENIX","Phoenix",1563025,"Y",67083,33.44826,-112.075774
"7","SAN ANTONIO","San Antonio",1469845,"Y",69000,29.42449,-98.494619
"8","SAN DIEGO","San Diego",1394928,"Y",90000,32.715695,-117.161719
"9","DALLAS","Dallas",1300092,"Y",65042,32.778155,-96.795404
"10","SAN JOSE","San Jose",1026908,"Y",81500,37.338475,-121.885794
"11","AUSTIN","Austin",931830,"Y",69200,30.267605,-97.742984
"12","JACKSONVILLE","Jacksonville",868031,"Y",66900,30.33147,-81.656219
"13","SAN FRANCISCO","San Francisco",864816,"Y",80000,37.777125,-122.419644
"14","INDIANAPOLIS","Indianapolis",853173,"Y",63000,39.76691,-86.149964
"15","COLUMBUS","Columbus",850106,"Y",65000,39.96196,-83.002984
"16","FORT WORTH","Fort Worth",833319,"Y",70000,32.748855,-97.329389
"17","CHARLOTTE","Charlotte",827097,"Y",70000,35.22269,-80.837764
"18","SEATTLE","Seattle",684451,"Y",83000,47.60356,-122.329439
"19","DENVER","Denver",682545,"Y",72656.5,39.74001,-104.992259
"20","EL PASO","El Paso",681124,"Y",60486,31.759165,-106.487494
"21","DETROIT","Detroit",677116,"Y",68000,42.331685,-83.047924
"22","WASHINGTON","Washington",672228,"Y",71614,38.89037,-77.031959
"23","BOSTON","Boston",667137,"Y",72000,42.358635,-71.056699
"24","MEMPHIS","Memphis",655770,"Y",67163,35.149766,-90.049259
"25","PORTLAND","Portland",632309,"Y",69430.5,45.511795,-122.675629
"26","OKLAHOMA CITY","Oklahoma City",631346,"Y",64100,35.472015,-97.520354
"27","LAS VEGAS","Las Vegas",623747,"Y",65000,36.171915,-115.139974
"28","BALTIMORE","Baltimore",621849,"Y",60000,39.290585,-76.609264
"29","MILWAUKEE","Milwaukee",600155,"Y",68171,43.04181,-87.906844
"30","ALBUQUERQUE","Albuquerque",559121,"Y",66893,35.08418,-106.648639
"31","TUCSON","Tucson",531641,"Y",65000,32.221553,-110.969754
"32","FRESNO","Fresno",520052,"Y",79600,36.740685,-119.785734
"33","SACRAMENTO","Sacramento",490712,"Y",68000,38.579065,-121.491014
"34","KANSAS CITY","Kansas City",475378,"Y",66000,39.11338,-94.626824
"35","LONG BEACH","Long Beach",474140,"Y",75000,33.766725,-118.192399
"36","MESA","Mesa",471825,"Y",74633,33.417045,-111.831459
"37","ATLANTA","Atlanta",463878,"Y",71100,33.748315,-84.391109
"38","COLORADO SPRINGS","Colorado Springs",456568,"Y",66581,38.83345,-104.821814
"39","VIRGINIA BEACH","Virginia Beach",452745,"Y",66000,36.75502,-76.059204
"40","RALEIGH","Raleigh",451066,"Y",67371,35.78551,-78.642669
"41","OMAHA","Omaha",443885,"Y",65000,41.260675,-95.940469
"42","MIAMI","Miami",441003,"Y",65083.2,25.728985,-80.237419
"43","OAKLAND","Oakland",419267,"Y",72322,37.805065,-122.273024
"44","MINNEAPOLIS","Minneapolis",410939,"Y",67000,44.979035,-93.264929
"45","TULSA","Tulsa",403505,"Y",60000,36.149745,-95.993334
"46","WICHITA","Wichita",389965,"Y",72344,37.68698,-97.335579
"47","NEW ORLEANS","New Orleans",389617,"Y",60000,29.9564,-90.0758
"48","ARLINGTON","Arlington",388125,"Y",68619,38.89051,-77.086294
