"","WORKSITE_CITY","dependent","city","index11","index21","index22","index23","index31","index42","index44","index48","index51","index52","index53","index54","index55","index56","index61","index62","index71","index72","index81","index92","rank","population","lat","lon"
"1","NEW YORK","Y","New York",0,0,0,0,45000,0,0,0,135000,120000,0,77184,0,56826,65735,46705,0,24263,107000,0,1,8550405,40.71455,-74.007124
"2","LOS ANGELES","Y","Los Angeles",0,0,0,0,0,0,0,0,53700,0,0,76170,0,45802,0,60000,0,0,0,0,2,3971883,34.05349,-118.245319
"3","CHICAGO","Y","Chicago",0,0,0,0,0,0,0,0,83658,125000,0,71531,0,70000,0,0,0,0,0,0,3,2720546,41.88415,-87.632409
"4","HOUSTON","Y","Houston",0,0,0,0,0,0,0,0,72000,46488,0,72870,0,64800,0,120000,0,0,0,0,4,2296224,29.76045,-95.369784
"5","PHILADELPHIA","Y","Philadelphia",0,0,0,0,0,0,104000,0,0,0,0,74963,0,68500,0,0,0,0,0,0,5,1567442,39.95228,-75.162454
"6","PHOENIX","Y","Phoenix",0,0,0,0,0,0,0,0,60000,0,0,73570,0,65000,0,0,0,0,0,0,6,1563025,33.44826,-112.075774
"7","SAN ANTONIO","Y","San Antonio",0,0,0,0,57000,0,0,0,95000.16,0,0,67642,0,83782,0,0,0,0,0,0,7,1469845,29.42449,-98.494619
"8","SAN DIEGO","Y","San Diego",0,0,0,0,100464,0,0,0,95000,0,0,75000,0,70824,0,0,0,0,0,0,8,1394928,32.715695,-117.161719
"9","DALLAS","Y","Dallas",0,0,0,0,0,1e+05,0,0,80400,0,0,70100,0,58500,0,140286.5,0,0,0,0,9,1300092,32.778155,-96.795404
"10","SAN JOSE","Y","San Jose",0,0,0,0,108805,0,0,0,122533,61942,0,94619,0,75000,0,66747,0,0,0,0,10,1026908,37.338475,-121.885794
"11","AUSTIN","Y","Austin",0,0,0,0,93000,0,0,0,93820.28,120000,0,70691,0,78000,0,0,0,0,0,0,11,931830,30.267605,-97.742984
"12","JACKSONVILLE","Y","Jacksonville",0,0,0,0,0,0,19,0,126500,0,0,72000,0,77000,0,0,0,0,0,0,12,868031,30.33147,-81.656219
"13","SAN FRANCISCO","Y","San Francisco",0,0,0,0,0,30000,0,0,116385,137500,0,90000,0,79165,60000,0,0,52000,88850,0,13,864816,37.777125,-122.419644
"14","INDIANAPOLIS","Y","Indianapolis",0,0,0,0,0,0,0,0,76800,0,0,65416,0,87500,0,0,0,0,0,0,14,853173,39.76691,-86.149964
"15","COLUMBUS","Y","Columbus",0,0,0,0,12000,0,0,0,74110,0,0,70000,0,80750,0,70000,0,0,0,0,15,850106,39.96196,-83.002984
"16","FORT WORTH","Y","Fort Worth",0,0,0,0,0,0,0,0,0,0,0,75000,0,1e+05,0,120000,0,0,0,0,16,833319,32.748855,-97.329389
"17","CHARLOTTE","Y","Charlotte",0,0,0,0,0,0,0,0,72654,0,0,74235,0,70000,0,0,0,0,0,0,17,827097,35.22269,-80.837764
"18","SEATTLE","Y","Seattle",0,0,0,0,0,0,106200,0,150000,64500,0,84347.5,0,77833,0,0,0,0,0,0,18,684451,47.60356,-122.329439
"19","DENVER","Y","Denver",0,0,0,0,0,0,0,0,91200,0,0,76731,0,0,0,0,0,0,0,0,19,682545,39.74001,-104.992259
"20","EL PASO","Y","El Paso",0,0,0,0,0,0,0,0,0,0,0,60000,0,0,0,0,0,0,0,0,20,681124,31.759165,-106.487494
"21","DETROIT","Y","Detroit",0,0,0,0,0,0,0,0,83692.56,0,0,70000,0,90000,0,0,0,0,0,0,21,677116,42.331685,-83.047924
"22","WASHINGTON","Y","Washington",0,0,0,0,61000,0,0,0,96671,0,0,83000,0,82500,0,0,0,0,48318,0,22,672228,38.89037,-77.031959
"23","BOSTON","Y","Boston",0,0,0,0,1e+05,0,0,0,79301.5,0,0,78603,0,75000,0,0,0,0,0,0,23,667137,42.358635,-71.056699
"24","MEMPHIS","Y","Memphis",0,0,0,0,0,0,0,0,0,0,0,67000,0,75000,0,0,0,0,0,0,24,655770,35.149766,-90.049259
"25","PORTLAND","Y","Portland",0,0,0,0,0,0,0,0,180000,0,0,75000,0,0,0,0,0,0,0,0,26,632309,45.511795,-122.675629
"26","OKLAHOMA CITY","Y","Oklahoma City",0,0,0,0,0,0,0,0,0,0,0,72197,0,0,0,0,0,0,0,0,27,631346,35.472015,-97.520354
"27","LAS VEGAS","Y","Las Vegas",0,0,0,0,0,0,0,0,0,0,0,69971,0,0,0,0,0,0,0,0,28,623747,36.171915,-115.139974
"28","BALTIMORE","Y","Baltimore",0,0,0,0,0,0,102000,0,75000,0,0,76918,0,64730,0,0,0,0,0,0,29,621849,39.290585,-76.609264
"29","MILWAUKEE","Y","Milwaukee",0,0,0,0,0,0,0,0,0,0,0,71557,0,0,0,0,0,0,0,0,31,600155,43.04181,-87.906844
"30","ALBUQUERQUE","Y","Albuquerque",0,0,0,0,0,0,0,0,0,0,0,70000,0,70000,0,0,0,0,0,0,32,559121,35.08418,-106.648639
"31","TUCSON","Y","Tucson",0,0,0,0,0,0,0,0,0,0,0,72000,0,0,55872,0,0,0,0,0,33,531641,32.221553,-110.969754
"32","FRESNO","Y","Fresno",0,0,0,0,0,0,0,0,0,0,0,72500,0,0,0,220000,0,0,0,0,34,520052,36.740685,-119.785734
"33","SACRAMENTO","Y","Sacramento",0,0,0,0,0,0,0,0,60000,0,0,75000,0,88500,0,0,0,0,0,0,35,490712,38.579065,-121.491014
"34","KANSAS CITY","Y","Kansas City",0,0,0,0,0,0,0,0,78480,0,0,69000,0,82269,0,0,0,0,0,0,36,475378,39.11338,-94.626824
"35","LONG BEACH","Y","Long Beach",0,0,0,0,89616,0,0,0,0,0,0,76170,0,0,0,0,0,0,0,0,37,474140,33.766725,-118.192399
"36","MESA","Y","Mesa",0,0,0,0,0,0,0,0,0,0,0,75000,0,0,0,0,0,0,0,0,38,471825,33.417045,-111.831459
"37","ATLANTA","Y","Atlanta",0,0,0,0,0,0,0,0,65000,0,0,70100,0,65000,47000,0,0,0,0,0,39,463878,33.748315,-84.391109
"38","COLORADO SPRINGS","Y","Colorado Springs",0,0,0,0,0,0,0,0,95950,0,0,69880,0,0,0,0,0,0,0,0,40,456568,38.83345,-104.821814
"39","VIRGINIA BEACH","Y","Virginia Beach",0,0,0,0,0,0,0,0,0,0,0,68276,0,0,0,0,0,0,0,0,41,452745,36.75502,-76.059204
"40","RALEIGH","Y","Raleigh",0,0,0,0,91000,0,0,0,112105.5,0,0,72000,0,70,0,62275.1,0,0,0,0,42,451066,35.78551,-78.642669
"41","OMAHA","Y","Omaha",0,0,0,0,0,0,0,0,0,0,0,70284,0,77000,0,0,0,0,0,0,43,443885,41.260675,-95.940469
"42","MIAMI","Y","Miami",0,0,0,0,0,0,0,0,185000,0,0,68788.5,0,0,0,0,0,0,0,0,44,441003,25.728985,-80.237419
"43","OAKLAND","Y","Oakland",0,0,0,0,0,0,0,0,0,0,0,81000,0,75000,0,0,0,0,0,0,45,419267,37.805065,-122.273024
"44","MINNEAPOLIS","Y","Minneapolis",0,0,0,0,61000,0,0,0,90000,0,0,70000,0,67500,0,0,0,0,0,0,46,410939,44.979035,-93.264929
"45","TULSA","Y","Tulsa",0,0,0,0,0,0,0,0,0,0,0,68598,0,68100,0,0,0,0,0,0,47,403505,36.149745,-95.993334
"46","WICHITA","Y","Wichita",0,0,0,0,0,0,0,0,0,0,0,72017,0,0,0,0,0,0,0,0,48,389965,37.68698,-97.335579
"47","NEW ORLEANS","Y","New Orleans",0,0,0,0,0,0,0,0,0,0,0,70000,0,0,0,0,0,0,0,0,49,389617,29.9564,-90.0758
"48","ARLINGTON","Y","Arlington",0,0,0,0,0,0,0,0,1e+05,0,0,82326,0,90200,0,0,0,0,0,0,50,388125,38.89051,-77.086294
